city,date,state,text,polarity
Boston,Thu Nov 26 23:01:52 +0000 2020,MA,"Thanksgiving can be a ‘lil bit of a struggle for people across the nation, let’s just get through it together for o… https://t.co/msZfdpDBPy",0.0
San Antonio,Thu Nov 26 23:01:53 +0000 2020,TX,I miss my mom &amp; her mashed potatoes this thanksgiving. 🥲💕,0.0
Tulsa,Thu Nov 26 23:01:54 +0000 2020,OK,me getting blackout at bdubs on thanksgiving: https://t.co/IoHeAynfNE,0.0
Dania Beach,Thu Nov 26 23:01:54 +0000 2020,FL,@DJM1009 thanks food is my passion all love brotha happy Thanksgiving  my man !,0.5666666666666667
Philadelphia,Thu Nov 26 23:01:55 +0000 2020,PA,I'm trying to save my family's thanksgiving by procuring cocaine lol,0.8
Phoenix,Thu Nov 26 23:01:56 +0000 2020,AZ,"Happy Thanksgiving from the Kitchen Family! Be safe! @ Phoenix, Arizona https://t.co/dBEDk1KG5r",0.8125
Desoto,Thu Nov 26 23:01:59 +0000 2020,TX,Told this girl happy Thanksgiving and she respond “Thank you”. Bitch it ain’t yo birthday say that shit back to me to,0.20000000000000004
Charlotte,Thu Nov 26 23:02:00 +0000 2020,NC,my moms just came downstairs in her thanksgiving fit lookin amazing 😭❤️,0.5
Frankfort,Thu Nov 26 23:02:00 +0000 2020,KY,"2020 Sucks. In the last two weeks, lost the clothes dryer, dishwasher and now on Thanksgiving lost the MFing oven!!!",-0.15
Oneida,Thu Nov 26 23:02:00 +0000 2020,NY,@Bobby_Bombs Happy Thanksgiving Phelan’s!! Hope you guys had a great Thanksgiving together!! Love you all!!,0.9270833333333334
Galveston,Thu Nov 26 23:02:01 +0000 2020,TX,@DaOGTriple 🤣🤣🤣🤣🤣,0.0
Loveland,Thu Nov 26 23:02:01 +0000 2020,CO,Took this while my family was fighting over politics on zoom:) ✨Happy Thanksgiving Hoes✨ https://t.co/dTdobsRUgt,0.5
San Francisco,Thu Nov 26 23:02:01 +0000 2020,CA,"Family Thanksgiving party, 2020-style.
.
.
#holidays2020 #togetherapart #pandemiclife @ Presidio Heights https://t.co/XGYFjE3fuk",0.0
Los Angeles,Thu Nov 26 23:02:03 +0000 2020,CA,41 miles for breakfast this morning! Happy thanksgiving everyone! #CycleBae #Strava #BlackCyclist #BGDB https://t.co/x4s4UotEHw,1.0
San Diego,Thu Nov 26 23:02:04 +0000 2020,CA,"Let's count our blessings not just today but every day. Happy Thanksgiving, everyone!🍗

Focus on hosting the perfec… https://t.co/6Zmzksw9kH",0.8
Germantown,Thu Nov 26 23:02:04 +0000 2020,MD,Who has not started eating #Thanksgiving dinner yet? 🙋🏼‍♂️ https://t.co/HlNF1URca0,0.0
Los Angeles,Thu Nov 26 23:02:04 +0000 2020,CA,Happy Thanksgiving 🦃 people👋🏻 ready pa los panes con pollo😃,0.5
Tonawanda,Thu Nov 26 23:02:05 +0000 2020,NY,Darby is so bad. Keeping Dallas in this game all by himself. #NFLThanksgiving,-0.5499999999999999
Baltimore,Thu Nov 26 23:02:05 +0000 2020,MD,The wrong people been cooking for you fam. You trippin,-0.5
El Paso,Thu Nov 26 23:02:06 +0000 2020,TX,Happy Thanksgiving! 🍁🧡🤎🤍 https://t.co/1JNQDJHGlr,1.0
Lincoln,Thu Nov 26 23:02:07 +0000 2020,NE,seeing all my friends make thanksgiving dinner for their families. y’all are elite.,0.0
Reno,Thu Nov 26 23:02:07 +0000 2020,NV,"Happiness is having your Dad come for Thanksgiving. 🙏🏻🥂❤️
*
*
*
#thanksgiving #gratitude #happy #family #cheers… https://t.co/khRLC4l7Gj",0.75
Bartlett,Thu Nov 26 23:02:08 +0000 2020,TN,"“Let’s do something simple,” he said. #ThanksgivingVibes🦃🍁🧡 #ThanksgivingQuarentine2020 @ Blevins' Bistro https://t.co/RQ9EaIIXjE",0.0
Bakersfield,Thu Nov 26 23:02:09 +0000 2020,CA,@meellooow Happy thanksgiving you beautiful girl 🧡,0.825
Portland,Thu Nov 26 23:02:09 +0000 2020,ME,Hey everyone having a lonely Thanksgiving...let’s have a lonely Thanksgiving together.,-0.09999999999999998
Milton,Thu Nov 26 23:02:10 +0000 2020,DE,@wrdetv @telemundodelmarva working that Thanksgiving Shift....tv programming  doesn't close down on holidays..  ijs… https://t.co/WgA100kSsD,-0.15555555555555559
Makakilo,Thu Nov 26 23:02:10 +0000 2020,HI,Happy thanksgiving! 🦃🍁🍽,1.0
Southfield,Thu Nov 26 23:02:12 +0000 2020,MI,#HappyThanksgiving https://t.co/TsDAiGCrTN,0.0
Irving,Thu Nov 26 23:02:12 +0000 2020,TX,"From our Family to yours, we hope you have a Safe and Happy Thanksgiving! https://t.co/G3nubgXeSe",0.75
Newton Falls,Thu Nov 26 23:02:14 +0000 2020,OH,@RosannaPansino That looks wonderful!!! Happy Thanksgiving Ro!!! 😘❤️🦃,1.0
Kenner,Thu Nov 26 23:02:14 +0000 2020,LA,"@alexandracranfo @WWLTV Happy Thanksgiving, to NOLA's best meteorologist!",0.9
San Antonio,Thu Nov 26 23:02:15 +0000 2020,TX,"DJ Shai 1 is on the Damn Set The House Party Thanksgiving Edition #househeads #Thanksgiving

https://t.co/7HnZz52xvy",0.0
Inwood,Thu Nov 26 23:02:15 +0000 2020,NY,"* peep the voice note i just sent @franklyinthemix — i’m singing down. 

😌. #HappyThanksgiving https://t.co/iZgednQ2lJ",-0.15555555555555559
Daly City,Thu Nov 26 23:02:16 +0000 2020,CA,Happy Thanksgiving. Double up in that gravy!!!,0.4
Rome,Thu Nov 26 23:02:16 +0000 2020,NY,Happy Thanksgiving! https://t.co/JvGh6Yakkn,1.0
Arlington,Thu Nov 26 23:02:18 +0000 2020,VA,"Thanksgiving: 2020 Edition 

Dinner for two 🍽 ✌️ 

#Thanksgiving #ThanksgivingDay https://t.co/Vcl7MjpOuA",0.0
Queens,Thu Nov 26 23:02:18 +0000 2020,NY,ok did some thanksgiving stalking! did not gather the information I needed... moving forward even tho I don’t know how,0.625
Everett,Thu Nov 26 23:02:20 +0000 2020,WA,"Happy Thanksgiving 🦃 Day!! @ Everett, Washington https://t.co/C1BOVdN98c",1.0
Noblesville,Thu Nov 26 23:02:21 +0000 2020,IN,"Never quite imagined a Thanksgiving like this, but here we are and so thankful. 🦃🥧🍁 Happy Thanksgiving to everyone… https://t.co/hOMWQ1KVQW",0.8
Coldwater,Thu Nov 26 23:02:21 +0000 2020,NY,"@rexthetvterrier And a very Happy Thanksgiving to you and your family, Rex. I am grateful for you!",1.0
Phoenix,Thu Nov 26 23:02:23 +0000 2020,AZ,This Thanksgiving our dispatchers will be working. Let’s all do our part to make their day a quiet one.… https://t.co/VGqM8UIiBN,0.0
Desoto,Thu Nov 26 23:02:24 +0000 2020,TX,Nah but fr happy Thanksgiving too all y’all! Much love,0.75
San Diego,Thu Nov 26 23:02:25 +0000 2020,CA,@kellyknize I’m not even a pork eater but that looks incredibly tasty. Happy Thanksgiving Kelly!,0.95
Hallandale Beach,Thu Nov 26 23:02:26 +0000 2020,FL,"Happy Thanksgiving...... @ Hallandale Beach, Florida https://t.co/GGgslmE2VO",0.8
Granite Bay,Thu Nov 26 23:02:27 +0000 2020,CA,"We wish you a very happy Thanksgiving! From our home to yours!! @christilee7 @ Granite Bay, California https://t.co/aIi3N2wXQ1",1.0
Newport,Thu Nov 26 23:02:27 +0000 2020,DE,for thanksgiving we didn’t see extended family so i just got to talk my moms bf’s head off about how the government… https://t.co/ijj2xrhasn,0.0
Paradise,Thu Nov 26 23:02:27 +0000 2020,NV,@BostonBiller Believe it or not I've never had any Thanksgiving food except for mash potatoes 😂,0.0
Plum Island,Thu Nov 26 23:02:29 +0000 2020,MA,@mikepompeo Happy Thanksgiving. And thank you for all you do 🇱🇷🇱🇷🇱🇷🇱🇷,0.8
Wesley Chapel,Thu Nov 26 23:02:32 +0000 2020,FL,Happy Thanksgiving! A good friend of mine hooked me up with some Blanton’s. @ Lynch Sales Group https://t.co/n0UeElDnav,0.85
